City,Temperature_C,Humidity_Percent,Weather_Condition,Wind_Speed,Date_Time
Aba,24.98,88,light rain,2.32,2026-08-17 16:17:29
Onitsha,25.07,91,moderate rain,2.14,2026-08-17 16:17:29
Warri,27.81,71,light rain,3.14,2026-08-17 16:17:29
